"sample_name","sample_label","Locus","site","sample_type","file1"
"18","SS20-332-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-332-c_S18_L001_R1_001.fastq.fastq"
"19","SS20-350-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-350-a_S19_L001_R1_001.fastq.fastq"
"20","SS20-350-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-350-b_S20_L001_R1_001.fastq.fastq"
"21","SS20-350-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-350-b_S21_L001_R1_001.fastq.fastq"
"22","SS20-350-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-350-c_S22_L001_R1_001.fastq.fastq"
"23","SS18-066V-a","Leray","Dungeness Spit","vial","Locus_Leray_SS18-066V-a_S23_L001_R1_001.fastq.fastq"
"24","SS18-066V-b","Leray","Dungeness Spit","vial","Locus_Leray_SS18-066V-b_S24_L001_R1_001.fastq.fastq"
"25","SS19-059-a","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-059-a_S25_L001_R1_001.fastq.fastq"
"26","SS19-059-b","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-059-b_S26_L001_R1_001.fastq.fastq"
"27","SS19-059-c","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-059-c_S27_L001_R1_001.fastq.fastq"
"28","SS20-184-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-184-a_S28_L001_R1_001.fastq.fastq"
"29","SS20-184-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-184-b_S29_L001_R1_001.fastq.fastq"
"30","SS20-184-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-184-c_S30_L001_R1_001.fastq.fastq"
"31","SS20-188-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-188-a_S31_L001_R1_001.fastq.fastq"
"32","SS20-188-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-188-b_S32_L001_R1_001.fastq.fastq"
"33","SS20-188-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-188-c_S33_L001_R1_001.fastq.fastq"
"34","SS20-191-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-191-a_S34_L001_R1_001.fastq.fastq"
"35","SS20-191-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-191-b_S35_L001_R1_001.fastq.fastq"
"36","SS20-191-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-191-c_S36_L001_R1_001.fastq.fastq"
"37","SS20-221-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-221-a_S37_L001_R1_001.fastq.fastq"
"38","SS20-221-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-221-b_S38_L001_R1_001.fastq.fastq"
"39","SS20-221-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-221-c_S39_L001_R1_001.fastq.fastq"
"40","SS20-233-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-233-a_S40_L001_R1_001.fastq.fastq"
